clean_rows_input,source_files_processed,months_covered,monthly_rows_output,store_rows_output,plan_rows_output,period_start,period_end,run_timestamp
38308,7,7,7,6,3,2019-01-01,2019-07-31,2026-04-18T12:37:04.470449+00:00
5833,1,1,1,6,3,2019-08-01,2019-08-30,2026-04-18T12:43:20.297115+00:00
5939,1,1,1,6,3,2019-09-02,2019-09-30,2026-04-18T13:03:57.432035+00:00
5708,1,1,1,6,3,2019-10-01,2019-10-31,2026-04-18T13:13:52.641342+00:00
5480,1,1,1,6,3,2019-11-01,2019-11-29,2026-04-20T07:03:42.200314+00:00
6000,1,1,1,6,3,2019-12-02,2019-12-31,2026-04-20T07:58:43.977027+00:00
